Kanji,Hiragana,Tiếng Việt,Từ loại,JLPT Level
ゲーム,ゲーム,Game,Danh từ,N4
アニメ,アニメ,Anime,Danh từ,N4
漫画,まんが,Truyện tranh (Nhật bản),Danh từ,N4
テニス,テニス,Tennis,Danh từ,N4
サッカー,サッカー,Bóng đá,Danh từ,N4
バスケットボール,バスケットボール,Bóng rổ,Danh từ,N4
ゴルフ,ゴルフ,Gôn,Danh từ,N4
野球,やきゅう,Bóng chày,Danh từ,N4
卓球,たっきゅう,Bóng bàn,Danh từ,N4
動物,どうぶつ,Động vật,Danh từ,N4
子犬,こいぬ,Chó con,Danh từ,N4
子猫,こねこ,Mèo con,Danh từ,N4
鳥,とり,Chim,Danh từ,N4
小鳥,ことり,Chim nhỏ,Danh từ,N4
展覧会,てんらんかい,Cuộc triển lãm,Danh từ,N4
コンサート,コンサート,Buổi hòa nhạc,Danh từ,N4
結婚式,けっこんしき,Lễ kết hôn,Danh từ,N4
運動会,うんどうかい,Thế vận hội,Danh từ,N4
お祭り,おまつり,Lễ hội,Danh từ,N4
花火大会,はなびたいかい,Lễ hội pháo hoa,Danh từ,N4
クリスマス,クリスマス,Giao thừa,Danh từ,N4
